epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2329,2.73817,5.28497,1.84918,0.11468,0.18762,0.05701,0.02875,1.70759,7.93712,1.31066,0.000147675,0.000147675,0.000147675
2,42.6166,1.64122,2.75454,1.25411,0.40385,0.27748,0.21519,0.12367,1.50864,2.59425,1.24945,0.000269707,0.000269707,0.000269707
3,58.3832,1.50156,2.12227,1.18851,0.46082,0.31965,0.30859,0.18139,1.45405,2.08032,1.19648,0.000361709,0.000361709,0.000361709
4,74.4797,1.42692,1.82212,1.15471,0.58021,0.38043,0.39279,0.23528,1.37511,1.61321,1.15666,0.000319865,0.000319865,0.000319865
5,90.4963,1.38521,1.65394,1.13708,0.61118,0.4673,0.43318,0.2615,1.32598,1.48026,1.11133,0.00027482,0.00027482,0.00027482
6,105.656,1.34445,1.52021,1.11702,0.62119,0.48431,0.46158,0.28418,1.29631,1.4274,1.08561,0.000229775,0.000229775,0.000229775
7,120.173,1.31494,1.45645,1.10195,0.64069,0.46331,0.47465,0.29843,1.2626,1.40322,1.07945,0.00018473,0.00018473,0.00018473
8,135.019,1.29841,1.39365,1.08292,0.72061,0.49493,0.50929,0.31786,1.23103,1.30831,1.0613,0.000139685,0.000139685,0.000139685
9,150.301,1.24025,1.29586,1.06038,0.73119,0.48102,0.52857,0.33231,1.19443,1.24299,1.04756,9.464e-05,9.464e-05,9.464e-05
10,166.088,1.21035,1.2657,1.05468,0.70651,0.51303,0.564,0.35491,1.18803,1.20617,1.03961,4.9595e-05,4.9595e-05,4.9595e-05
